group,function,value,sample_time_nanos,iteration_count
normal density,,,1604128.0,18
normal density,,,2864274.0,36
normal density,,,4341846.0,54
normal density,,,5689735.0,72
normal density,,,6406662.0,90
normal density,,,7915010.0,108
normal density,,,9507517.0,126
normal density,,,10760439.0,144
normal density,,,9993588.0,162
normal density,,,9781963.0,180
normal density,,,11119992.0,198
normal density,,,12138094.0,216
normal density,,,13078728.0,234
normal density,,,14031064.0,252
normal density,,,15127622.0,270
normal density,,,16057906.0,288
normal density,,,17056451.0,306
normal density,,,18268985.0,324
normal density,,,19023520.0,342
normal density,,,20054214.0,360
normal density,,,21348382.0,378
normal density,,,22071098.0,396
normal density,,,23051137.0,414
normal density,,,24036445.0,432
normal density,,,25000844.0,450
normal density,,,26048661.0,468
normal density,,,26994996.0,486
normal density,,,28052380.0,504
normal density,,,28989528.0,522
normal density,,,30025802.0,540
normal density,,,31092422.0,558
normal density,,,31998403.0,576
normal density,,,33098087.0,594
normal density,,,33993196.0,612
normal density,,,35322520.0,630
normal density,,,35847885.0,648
normal density,,,38273987.0,666
normal density,,,38128393.0,684
normal density,,,38981545.0,702
normal density,,,39841849.0,720
normal density,,,42792637.0,738
normal density,,,48404291.0,756
normal density,,,43019831.0,774
normal density,,,48624245.0,792
normal density,,,47285315.0,810
normal density,,,46105631.0,828
normal density,,,47083946.0,846
normal density,,,48203987.0,864
normal density,,,50334212.0,882
normal density,,,50144858.0,900
normal density,,,51009361.0,918
normal density,,,52080640.0,936
normal density,,,53054718.0,954
normal density,,,54552550.0,972
normal density,,,55155920.0,990
normal density,,,57163096.0,1008
normal density,,,57199892.0,1026
normal density,,,58055740.0,1044
normal density,,,59009109.0,1062
normal density,,,59951547.0,1080
normal density,,,73275573.0,1098
normal density,,,62034584.0,1116
normal density,,,68174104.0,1134
normal density,,,63792213.0,1152
normal density,,,64900071.0,1170
normal density,,,66061601.0,1188
normal density,,,66960476.0,1206
normal density,,,67892836.0,1224
normal density,,,68981988.0,1242
normal density,,,70088427.0,1260
normal density,,,70947677.0,1278
normal density,,,72684435.0,1296
normal density,,,73014725.0,1314
normal density,,,73943638.0,1332
normal density,,,74999810.0,1350
normal density,,,76191415.0,1368
normal density,,,76852655.0,1386
normal density,,,77922854.0,1404
normal density,,,79487608.0,1422
normal density,,,80297298.0,1440
normal density,,,80766138.0,1458
normal density,,,81965969.0,1476
normal density,,,83075931.0,1494
normal density,,,84481780.0,1512
normal density,,,85125226.0,1530
normal density,,,86106316.0,1548
normal density,,,88987642.0,1566
normal density,,,119637215.0,1584
normal density,,,92381529.0,1602
normal density,,,90579538.0,1620
normal density,,,91044792.0,1638
normal density,,,91753161.0,1656
normal density,,,92944766.0,1674
normal density,,,93908996.0,1692
normal density,,,95062210.0,1710
normal density,,,96757220.0,1728
normal density,,,97248431.0,1746
normal density,,,109980697.0,1764
normal density,,,99119723.0,1782
normal density,,,100273987.0,1800
