group,function,value,sample_time_nanos,iteration_count
normal density,,,1251383.0,14
normal density,,,2179345.0,28
normal density,,,3173010.0,42
normal density,,,4202479.0,56
normal density,,,5364257.0,70
normal density,,,6363722.0,84
normal density,,,7470896.0,98
normal density,,,8386457.0,112
normal density,,,9508731.0,126
normal density,,,10605505.0,140
normal density,,,11672675.0,154
normal density,,,12812451.0,168
normal density,,,13776814.0,182
normal density,,,14842986.0,196
normal density,,,15799049.0,210
normal density,,,16861520.0,224
normal density,,,17793581.0,238
normal density,,,19225677.0,252
normal density,,,20292247.0,266
normal density,,,20976493.0,280
normal density,,,22141970.0,294
normal density,,,22880020.0,308
normal density,,,24538429.0,322
normal density,,,24867551.0,336
normal density,,,25778212.0,350
normal density,,,28586098.0,364
normal density,,,28245276.0,378
normal density,,,29806479.0,392
normal density,,,31010359.0,406
normal density,,,32010225.0,420
normal density,,,33163202.0,434
normal density,,,34098464.0,448
normal density,,,35178636.0,462
normal density,,,38930885.0,476
normal density,,,36873248.0,490
normal density,,,38096030.0,504
normal density,,,39636632.0,518
normal density,,,40187568.0,532
normal density,,,41005323.0,546
normal density,,,43224670.0,560
normal density,,,42563926.0,574
normal density,,,44437551.0,588
normal density,,,45255905.0,602
normal density,,,46517489.0,616
normal density,,,47059625.0,630
normal density,,,47963885.0,644
normal density,,,49200867.0,658
normal density,,,50832275.0,672
normal density,,,51283605.0,686
normal density,,,52413680.0,700
normal density,,,53945983.0,714
normal density,,,55626993.0,728
normal density,,,56988984.0,742
normal density,,,56736368.0,756
normal density,,,58858208.0,770
normal density,,,59006918.0,784
normal density,,,60532420.0,798
normal density,,,60830539.0,812
normal density,,,62718864.0,826
normal density,,,62833372.0,840
normal density,,,64000749.0,854
normal density,,,65881275.0,868
normal density,,,66712830.0,882
normal density,,,67553285.0,896
normal density,,,67530784.0,910
normal density,,,69165293.0,924
normal density,,,70458678.0,938
normal density,,,72349105.0,952
normal density,,,72777332.0,966
normal density,,,74155324.0,980
normal density,,,73502581.0,994
normal density,,,74641756.0,1008
normal density,,,78702826.0,1022
normal density,,,78798532.0,1036
normal density,,,78738028.0,1050
normal density,,,80136022.0,1064
normal density,,,81478210.0,1078
normal density,,,81919439.0,1092
normal density,,,83567849.0,1106
normal density,,,85164355.0,1120
normal density,,,85822199.0,1134
normal density,,,86915971.0,1148
normal density,,,87789630.0,1162
normal density,,,90580814.0,1176
normal density,,,91113750.0,1190
normal density,,,91065347.0,1204
normal density,,,91582981.0,1218
normal density,,,92736558.0,1232
normal density,,,94398568.0,1246
normal density,,,94468473.0,1260
normal density,,,95706255.0,1274
normal density,,,96929936.0,1288
normal density,,,98414535.0,1302
normal density,,,98222122.0,1316
normal density,,,98717455.0,1330
normal density,,,98804561.0,1344
normal density,,,100784592.0,1358
normal density,,,102960337.0,1372
normal density,,,102520307.0,1386
normal density,,,105623414.0,1400
